epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.8866,0.77893,0.74557,1.08499,0.92228,0.95833,0.9562,0.88421,0.45886,0.64945,0.84711,0,0,0
2,8.42847,0.47993,0.50167,0.87017,0.92915,0.95833,0.95615,0.88988,0.45932,0.6377,0.84662,1.35826e-05,1.35826e-05,1.35826e-05
3,12.761,0.45497,0.51221,0.91552,0.94563,0.95833,0.95609,0.89095,0.44775,0.61006,0.84998,2.57506e-05,2.57506e-05,2.57506e-05
4,17.0939,0.66788,0.49861,0.96965,0.95031,0.95833,0.95602,0.88985,0.45396,0.58915,0.86529,3.65038e-05,3.65038e-05,3.65038e-05
5,21.3245,0.65569,0.55258,1.03373,0.95902,0.95833,0.95599,0.86903,0.49117,0.5754,0.89068,4.58423e-05,4.58423e-05,4.58423e-05
6,25.5146,0.54579,0.65811,0.99769,0.9664,0.95833,0.95592,0.86599,0.54761,0.57445,0.91483,5.37661e-05,5.37661e-05,5.37661e-05
7,29.8043,0.42984,0.43055,0.90966,0.96246,0.95833,0.95586,0.8666,0.58103,0.57828,0.92177,6.02752e-05,6.02752e-05,6.02752e-05
8,39.5309,0.547,0.54022,0.99068,0.96338,0.95833,0.95583,0.86462,0.63289,0.56755,0.95794,6.53696e-05,6.53696e-05,6.53696e-05
9,49.5489,0.537,0.47559,0.95921,0.96338,0.95833,0.95583,0.86462,0.63289,0.56755,0.95794,6.90493e-05,6.90493e-05,6.90493e-05
10,59.7695,0.58683,0.52618,0.96065,0.96392,0.95833,0.95586,0.86617,0.57133,0.57187,0.92122,7.13142e-05,7.13142e-05,7.13142e-05
11,69.7399,0.63937,0.53752,0.91135,0.96392,0.95833,0.95586,0.86617,0.57133,0.57187,0.92122,7.21645e-05,7.21645e-05,7.21645e-05
12,80.0746,0.48987,0.46316,0.91144,0.95795,0.95833,0.95595,0.8889,0.51426,0.55886,0.89947,7.16e-05,7.16e-05,7.16e-05
13,89.8858,0.45983,0.46214,0.89995,0.95795,0.95833,0.95595,0.8889,0.51426,0.55886,0.89947,6.96209e-05,6.96209e-05,6.96209e-05
14,100.055,0.48537,0.55228,0.90489,0.95072,0.95833,0.95615,0.90176,0.48207,0.54095,0.88883,6.6227e-05,6.6227e-05,6.6227e-05
15,110.288,0.48298,0.46549,0.91337,0.95072,0.95833,0.95615,0.90176,0.48207,0.54095,0.88883,6.14184e-05,6.14184e-05,6.14184e-05
16,121.144,0.43393,0.43135,0.89079,0.94346,0.95833,0.95622,0.88722,0.45688,0.53969,0.87254,5.51951e-05,5.51951e-05,5.51951e-05
17,131.106,0.48133,0.46912,0.85749,0.94346,0.95833,0.95622,0.88722,0.45688,0.53969,0.87254,4.75571e-05,4.75571e-05,4.75571e-05
18,141.516,0.53178,0.48061,0.92366,0.93881,0.95833,0.95631,0.89664,0.44821,0.53038,0.85499,3.85044e-05,3.85044e-05,3.85044e-05
19,151.418,0.48235,0.45145,0.8567,0.93881,0.95833,0.95631,0.89664,0.44821,0.53038,0.85499,2.8037e-05,2.8037e-05,2.8037e-05
20,162.161,0.44428,0.47215,0.89118,0.9397,0.95833,0.95634,0.89667,0.44186,0.5278,0.85202,1.61548e-05,1.61548e-05,1.61548e-05
